"Region","Area","PCL","Impacted","Native"
"Auckland",4910.3,6,52.5,47.5
"Bay of Plenty",12279.1,21.8,18.5,81.5
"Canterbury",45218.6,27,27.3,72.7
"Gisborne",8390.9,7.6,11.1,88.9
"Hawkes Bay",14199.2,12.9,33.4,66.6
"Manawatu-Wanganui",22224.8,17.8,26.2,73.8
"Marlborough",10487.2,46.1,8.4,91.6
"Nelson",423.7,13.7,11.6,88.4
"Northland",12520.3,12.4,43.9,56.1
"Otago",31908,20.2,18.2,81.8
"Southland",31936.5,57.9,21.9,78.1
"Taranaki",7255,19.7,37.9,62.1
"Tasman",9643.8,64.9,8.4,91.6
"Waikato",24593.2,15.2,43.8,56.2
"Wellington",8118.2,17.5,24.1,75.9
"West Coast",23359.7,84.1,3.1,96.9
