"Region","Total","Native_PCL","Native_RC","Impacted","RC_Total"
"Auckland",53,5,29,19,48
"Bay of Plenty",179,38,122,19,141
"Canterbury",613,205,311,97,408
"Gisborne",123,8,107,8,115
"Hawkes Bay",166,29,103,34,137
"Manawatu-Wanganui",302,61,195,46,241
"Marlborough",154,74,73,7,80
"Nelson",8,2,5,1,6
"Northland",154,29,81,44,125
"Otago",453,92,315,46,361
"Southland",444,277,112,55,167
"Taranaki",89,26,42,21,63
"Tasman",150,103,40,7,47
"Waikato",305,63,156,86,242
"Wellington",111,24,71,16,87
"West Coast",357,305,46,6,52
